sequenceID,fold
100_chr1,2
100_chr11,2
100_chr17,2
100_chr2,2
100_chr3,2
100_chr4,2
101_chr1,2
101_chr11,2
101_chr17,2
101_chr2,2
101_chr3,2
101_chr4,2
102_chr1,6
102_chr11,6
102_chr17,6
102_chr2,6
102_chr3,6
102_chr4,6
103_chr1,6
103_chr11,6
103_chr17,6
103_chr2,6
103_chr22,6
103_chr3,6
103_chr4,6
103_chrX,6
104_chr1,4
104_chr11,4
104_chr17,4
104_chr2,4
104_chr3,4
104_chr4,4
105_chr1,4
105_chr11,4
105_chr17,4
105_chr2,4
105_chr3,4
105_chr4,4
106_chr1,2
106_chr11,2
106_chr14,2
106_chr16,2
106_chr17,2
106_chr3,2
106_chr4,2
106_chr5,2
106_chr6,2
106_chr8,2
106_chr9,2
107_chr1,4
107_chr11,4
107_chr17,4
107_chr2,4
107_chr3,4
107_chr4,4
108_chr1,2
108_chr11,2
108_chr17,2
108_chr2,2
108_chr3,2
108_chr4,2
109_chr1,4
109_chr11,4
109_chr17,4
109_chr2,4
109_chr3,4
109_chr4,4
109_chr8,4
10_chr1,4
10_chr11,4
10_chr17,4
10_chr2,4
10_chr3,4
10_chr4,4
110_chr1,6
110_chr11,6
110_chr17,6
110_chr2,6
110_chr3,6
110_chr4,6
111_chr1,6
111_chr11,6
111_chr17,6
111_chr2,6
111_chr3,6
111_chr4,6
112_chr1,2
112_chr11,2
112_chr17,2
112_chr2,2
112_chr3,2
112_chr4,2
113_chr1,2
113_chr10,2
113_chr11,2
113_chr13,2
113_chr17,2
113_chr2,2
113_chr3,2
113_chr4,2
113_chr6,2
113_chr7,2
113_chr9,2
114_chr1,4
114_chr11,4
114_chr17,4
114_chr2,4
114_chr3,4
114_chr4,4
115_chr1,4
115_chr11,4
115_chr17,4
115_chr2,4
115_chr3,4
115_chr4,4
116_chr1,6
116_chr11,6
116_chr14,6
116_chr17,6
116_chr2,6
116_chr3,6
116_chr4,6
116_chrX,6
117_chr1,2
117_chr11,2
117_chr17,2
117_chr2,2
117_chr3,2
117_chr4,2
118_chr1,2
118_chr11,2
118_chr17,2
118_chr3,2
118_chr4,2
119_chr1,4
119_chr11,4
119_chr17,4
119_chr2,4
119_chr3,4
119_chr4,4
11_chr1,4
11_chr11,4
11_chr14,4
11_chr16,4
11_chr17,4
11_chr2,4
11_chr21,4
11_chr3,4
11_chr4,4
11_chr7,4
11_chr9,4
120_chr1,6
120_chr11,6
120_chr17,6
120_chr2,6
120_chr3,6
120_chr4,6
121_chr1,2
121_chr11,2
121_chr17,2
121_chr2,2
121_chr3,2
121_chr4,2
122_chr1,6
122_chr11,6
122_chr17,6
122_chr2,6
122_chr3,6
122_chr4,6
123_chr1,4
123_chr11,4
123_chr12,4
123_chr14,4
123_chr16,4
123_chr17,4
123_chr19,4
123_chr2,4
123_chr3,4
123_chr4,4
123_chr7,4
123_chrX,4
124_chr1,2
124_chr11,2
124_chr17,2
124_chr2,2
124_chr3,2
124_chr4,2
125_chr1,4
125_chr11,4
125_chr17,4
125_chr2,4
125_chr3,4
125_chr4,4
126_chr1,2
126_chr11,2
126_chr17,2
126_chr2,2
126_chr3,2
126_chr4,2
127_chr1,6
127_chr11,6
127_chr17,6
127_chr2,6
127_chr3,6
127_chr4,6
128_chr1,2
128_chr11,2
128_chr12,2
